untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14572427,물품,R25TA0084960201,R25TA0084960201,"2026학년도 주례여자중학교 교복(동복, 하복) 학교주관 구매",N,신규,2026-05-04,,지방계약법 (제2조의2제1항1호),0,16562000,5,http://www.g2b.go.kr,직불,,R25BK00987932,7200047,부산광역시북부교육청 주례여자중학교,교육기관,행정실,김성원,***********,,[1^7200047^부산광역시북부교육청 주례여자중학교^교육기관^행정실^김성원^***********],[1^주계약업체^단독^세인트^황명옥^대한민국^100^세인트^^6052032377],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00849602&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주례여자중학교장,"[판로지원법 시행령] 소기업,소상공인제한",제한경쟁,2026-05-06 09:18:58,,0.08,,,,,2026-05-04,N,getCntrctInfoListThng,물품,부산광역시북부교육청 주례여자중학교,16562000
R26TE14572474,물품,R25TA0084394501,R25TA0084394501,"2026학년도 부산과학고등학교 교복(동복, 하복) 학교주관구매 입찰 공고",N,신규,2026-05-06,,지방계약법 (제2조의2제1항1호),0,17670000,10,http://www.g2b.go.kr,직불,,R25BK00976818,7150459,부산광역시교육청 부산과학고등학교,교육기관,행정실,류하나,051-580-8510,,[1^7150459^부산광역시교육청 부산과학고등학교^교육기관^행정실^류하나^0515808510],[1^주계약업체^단독^스마트금정점^손금덕^대한민국^100^스마트금정점^^6212116755],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00843945&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산과학고등학교장,"[판로지원법 시행령] 소기업,소상공인제한",제한경쟁,2026-05-06 09:20:23,,0.075,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시교육청 부산과학고등학교,17670000
R26TE14572547,물품,,R26TA0182858000,보건교육장 냉난방기 구입 및 설치,N,신규,,계약일로부터~2026.5.22.,지방계약법 (제25조제1항5호나목),0,8919900,5,http://www.g2b.go.kr,직불,,,3390023,부산광역시 사상구 보건소,지방자치단체,보건행정과,박원숙,051-310-4792,051-310-4799,[1^3390023^부산광역시 사상구 보건소^지방자치단체^보건행정과^박원숙^0513104792],[1^주계약업체^단독^주식회사 정인시스템공조^이용훈^대한민국^100^주식회사 정인시스템공조^^5258701232],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828580&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,사상구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:22:52,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 사상구 보건소,8919900
R26TE14572603,물품,R26TA0179423600,R26TA0179423600,부산터널 내화성능확보 전원선로 교체공사 관급자재 구매,N,신규,2026-05-04,2026. 5. 4. ~ 2026. 7. 2.,지방계약법 (제20조제1항6호),0,290195590,5,http://www.g2b.go.kr,직불,,R26BK01466349,6260000,부산광역시,지방자치단체,회계재산담당관,김주홍,051-888-2244,,[1^6260409^부산광역시 건설안전시험사업소^지방자치단체^관리팀^조윤정^],[1^주계약업체^단독^동하툴^김경록^대한민국^100^동하툴^^1110614204],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01794236&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시장,행정안전부령 금액 미만 본점소재지,제한경쟁,2026-05-06 09:24:29,,0.08,,,,,2026-05-04,N,getCntrctInfoListThng,물품,부산광역시 건설안전시험사업소,290195590
R26TE14572633,물품,,R26TA0182164000,지소 원격감시제어시스템 재정비 사업,N,신규,,계약 후 240일 이내,지방계약법 (제25조제1항6호라5목),0,354000000,5,http://www.g2b.go.kr,대지급,R26DC00198054,R26BK01492749,1230130,조달청 부산지방조달청,국가기관,경영관리과,이재형,070-4056-6590,050-5730-1904,[1^6260099^부산광역시 상수도사업본부 시설관리사업소^지방자치단체^관리팀^류화수^0516694523],[1^주계약업체^단독^동영테크원 주식회사^정윤화^대한민국^100^동영테크원 주식회사^^6218117350],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01821640&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부부산지방조달청장,조달청우수제품,수의계약,2026-05-06 09:25:11,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 시설관리사업소,354000000
R26TE14572773,물품,,R26TA0182359400,수변어린이공원 쿨링포그 전면 교체 계약,N,신규,,,지방계약법 (제25조제1항5호나목),0,12821600,10,http://www.g2b.go.kr,직불,,,3380000,부산광역시 수영구,지방자치단체,재무과,장지혜,,,[1^3380000^부산광역시 수영구^지방자치단체^재무과^장지혜^],[1^주계약업체^단독^주식회사 지온산업^정민지^대한민국^100^주식회사 지온산업^^8798103270],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01823594&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시수영구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:28:49,,0.08,,,,,2026-05-07,N,getCntrctInfoListThng,물품,부산광역시 수영구,12821600
R26TE14572848,물품,R26TA0182487900,R26TA0182487900,2026년 타이머콕 보급사업 물품 구매(부산권역),N,신규,2026-05-04,계약 후 75일 이내,국가계약법 (제2조의2제1항2호),0,158312620,10,http://www.g2b.go.kr,직불,R26DC00193690,R26BK01446305,1230130,조달청 부산지방조달청,국가기관,경영관리과,윤태영,070-4056-6581,050-5480-1443,[1^Z004999^한국가스안전공사 부산지역본부^준정부기관^x^최예령^],[1^주계약업체^단독^엠씨테크놀로지 주식회사^민춘희^대한민국^100^엠씨테크놀로지 주식회사^^1228609659],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01824879&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부부산지방조달청장,"[판로지원법 시행령] 중기업,소기업,소상공인 제한",제한경쟁,2026-05-06 09:30:49,,0.075,,,,,2026-05-04,N,getCntrctInfoListThng,물품,한국가스안전공사 부산지역본부,158312620
R26TE14573116,물품,R26TA0182568900,R26TA0182568900,연제도서관 다목적홀 전자현수막 설치,N,신규,2026-05-06,,지방계약법 (제25조제1항5호나목),0,12705000,5,http://www.g2b.go.kr,직불,,,3370000,부산광역시 연제구,지방자치단체,재무과,양수현,051-665-4144,051-665-4149,[1^3370000^부산광역시 연제구^지방자치단체^재무과^양수현^0516654144],[1^주계약업체^단독^에스엠^조원제^대한민국^100^에스엠^^8180200900],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01825689&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,연제구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:38:08,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 연제구,12705000
R26TE14573193,물품,R26TA0181034000,R26TA0181034000,울산태화강변 A-1BL 아파트 전기공사 지급자재(수배전반) 제작 및 설치,N,신규,2026-05-04,2027/02/15,국가계약법 (제26조제1항3호바목),0,217000000,10,http://www.g2b.go.kr,직불,R26DC00195977,R26BK01477795,1230130,조달청 부산지방조달청,국가기관,경영관리과,윤태영,070-4056-6581,050-5480-1443,[1^D168321^한국토지주택공사 부산울산지역본부^공기업^경영지원팀^최주은^0517966064],[1^주계약업체^단독^(주)은성엔지니어링^김정현^대한민국^100^(주)은성엔지니어링^^3018143444],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01810340&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부부산지방조달청장,우수조달물품,수의계약,2026-05-06 09:40:23,,0.075,,,,,2026-05-04,N,getCntrctInfoListThng,물품,한국토지주택공사 부산울산지역본부,217000000
R26TE14573567,물품,,R26TA0182874300,미끄럼방지 매트 등 미끄럼 방지용품 4종 구입,N,신규,,,지방계약법 (제25조제1항5호나목),0,8660000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,정유란,,,[1^B551542^부산교통공사^지방공기업^회계자산처^정유란^],[1^주계약업체^단독^상우종합물류^이동희^대한민국^100^상우종합물류^^6063481048],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828743&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:50:12,,0.08,,,,,2026-05-07,N,getCntrctInfoListThng,물품,부산교통공사,8660000
R26TE14573665,물품,,R26TA0182888600,유화아스팔트(RSC-4) 구매(1차),N,신규,,계약일로부터 20일 이내,지방계약법 (제25조제1항5호나목),0,11780000,5,http://www.g2b.go.kr,직불,,,6260409,부산광역시 건설안전시험사업소,지방자치단체,관리팀,조윤정,,,[1^6260409^부산광역시 건설안전시험사업소^지방자치단체^관리팀^조윤정^],[1^주계약업체^단독^인성에이앤티 주식회사^이광호^대한민국^100^인성에이앤티 주식회사^^3128632700],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828886&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 건설안전시험사업소장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:52:32,,0.08,,,,,2026-05-07,N,getCntrctInfoListThng,물품,부산광역시 건설안전시험사업소,11780000
R26TE14573696,물품,,R26TA0182538900,2026년 전국소년(장애학생)체전 개회식 선수단 환영현수막 등 제작·설치,N,신규,,2026.5.4.~2026.5.26.,지방계약법 (제25조제1항5호나목),0,17919000,5,http://www.g2b.go.kr,직불,,,6260000,부산광역시,지방자치단체,회계재산담당관,정다은,051-888-2237,051-888-2249,[1^6260000^부산광역시^지방자치단체^회계재산담당관^정다은^0518882237],[1^주계약업체^단독^(주)대륙건설광고공사^김화연^대한민국^100^(주)대륙건설광고공사^^6018127169],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01825389&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:53:53,,0.08,,,,,2026-05-04,N,getCntrctInfoListThng,물품,부산광역시,17919000
R26TE14573862,물품,R25TA0086515701,R25TA0086515701,2026학년도 가람중학교 교복(생활복)학교주관 구매 계약,N,신규,2026-04-29,,지방계약법 (제2조의2제1항3호001목),0,25456000,5,http://www.g2b.go.kr,직불,,R25BK01003564,7200219,부산광역시북부교육청 가람중학교,교육기관,행정실,조혜승,051-330-4811,051-330-4804,[1^7200219^부산광역시북부교육청 가람중학교^교육기관^행정실^조혜승^0513304811],[1^주계약업체^단독^스마트학생복 북구점^이치형^대한민국^100^스마트학생복 북구점^^6062741878],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00865157&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,가람중학교장,"[판로지원법 시행령] 일반제품 소기업 소상공인 제한경쟁, 공동사업",제한경쟁,2026-05-06 09:58:24,,0.08,,,,,2026-04-29,N,getCntrctInfoListThng,물품,부산광역시북부교육청 가람중학교,25456000
R26TE14574018,물품,R26TA0182155200,R26TA0182155200,다이옥신 자동정제시스템 카트리지 구매,N,신규,2026-05-06,,지방계약법 (제25조제1항5호나목),0,12697000,5,http://www.g2b.go.kr,직불,,,6260088,부산광역시 보건환경연구원,지방자치단체,부산광역시보건환경연구원,전민진,051-309-2721,,[1^6260088^부산광역시 보건환경연구원^지방자치단체^부산광역시보건환경연구원^전민진^0513092721],[1^주계약업체^단독^(주)아이엔에이코리아^조다연^대한민국^100^(주)아이엔에이코리아^^1058741613],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01821552&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시보건환경연구원장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 10:01:26,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 보건환경연구원,12697000
R26TE14574126,물품,R26TA0181942000,R26TA0181942000,양남-감포(6차) 관급(레미콘총액) 구매,N,신규,2026-05-04,2026/12/31,국가계약법 (제42조제1항),0,148450000,10,http://www.g2b.go.kr,직불,R26DC00177630,R26BK01463155,1230137,조달청 대구지방조달청,국가기관,경영관리과,김희현,070-4056-7964,050-5480-2296,[1^1613281^국토교통부 부산지방국토관리청^국가기관^지역협력과^이호준^0516601020],[1^주계약업체^단독^(주)신성레미콘^김범동^대한민국^100^(주)신성레미콘^^5058151610],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01819420&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부대구지방조달청장,예정가격이하 최저가격순 계약이행능력 심사,일반경쟁,2026-05-06 10:04:28,,0.075,,,,,2026-05-04,N,getCntrctInfoListThng,물품,국토교통부 부산지방국토관리청,148450000
R26TE14574157,물품,,R26TA0169520600,화전천 하부 산책로 진출입 차단시설 구입(설치),N,신규,,,지방계약법 (제25조제1항5호나목),0,17766000,5,http://www.g2b.go.kr,직불,,,3360000,부산광역시 강서구,지방자치단체,재무과,송혜미,051-970-4834,051-970-4149,[1^3360000^부산광역시 강서구^지방자치단체^재무과^송혜미^0519704834],[1^주계약업체^단독^(주)테크유니온^신유정^대한민국^100^(주)테크유니온^^6058129704],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01695206&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,강서구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 10:05:10,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 강서구,17766000
R26TE14574166,물품,,R25TA0128650501,부산진초교 일원 보행환경 개선사업 조형월 제작·설치,N,신규,,2025.12.29. ~ 2026.05.05. (착수일 2026.01.06.),지방계약법 (제7조의2제2항2호),0,102200970,5,http://www.g2b.go.kr,직불,,R25BK01232191,3290000,부산광역시 부산진구,지방자치단체,재무과,안유진,,,[1^3290000^부산광역시 부산진구^지방자치단체^재무과^안유진^],[1^주계약업체^단독^원커뮤니케이션^김은정^대한민국^100^원커뮤니케이션^^4122200054],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA01286505&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 부산진구청장,"[판로지원법] 중기간경쟁제품 조합추천 지명경쟁, 공동사업",지명경쟁,2026-05-06 10:05:24,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 부산진구,102200970
R26TE14574333,물품,,R26TA0182446800,"2026년 현수막 지정게시대 구매(옥외광고발전기금,2차)",N,신규,,,지방계약법 (제25조제1항5호나목),0,5400000,5,http://www.g2b.go.kr,직불,,,3360000,부산광역시 강서구,지방자치단체,재무과,김태완,,,[1^3360000^부산광역시 강서구^지방자치단체^재무과^김태완^],[1^주계약업체^단독^주식회사 남신테크^류혜진^대한민국^100^주식회사 남신테크^^5048144004],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01824468&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,강서구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 10:09:40,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 강서구,5400000
R26TE14574443,물품,,R26TA0181442501,2026년 수산종자 매입방류사업 전복 구입,N,신규,,,지방계약법 (제25조제1항5호라목),0,40000000,5,http://www.g2b.go.kr,직불,,R26BK01457422,3260000,부산광역시 서구,지방자치단체,서구청 재무과,김우진,051-240-4145,051-240-4149,[1^3260000^부산광역시 서구^지방자치단체^서구청 재무과^김우진^0512404145],[1^주계약업체^단독^화수분 전복마을^최연희^대한민국^100^화수분 전복마을^^6139121212],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01814425&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 서구청장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 10:12:34,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 서구,40000000
R26TE14574688,물품,,R26TA0182920800,비콘그라운드사업소 실내 스크린 파크골프장 냉난방기 구매,N,신규,,2026. 5. 6. ~ 2026. 6. 2.,지방계약법 (제25조제1항5호나목),0,5395000,5,http://www.g2b.go.kr,직불,,,B552587,부산시설공단,지방공기업,재무회계팀,문아름,051-860-7694,051-860-7619,[1^B552587^부산시설공단^지방공기업^재무회계팀^문아름^0518607694],[1^주계약업체^단독^하나공조시스템^윤순덕^대한민국^100^하나공조시스템^^6021667512],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01829208&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산시설공단,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 10:18:43,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산시설공단,5395000
