item_category,city,opportunity_score,competition_score,bid_count,amount_sum,district_count,consumer_fit_score,hub_score,rank_in_item,judgment_label,survival_5y,dissolution_rate,adjusted_score,adjusted_score_100,opp_score_100,consumer_fit_100,competition_100
교육물품/교구,대구광역시,27.07,1.0,241,31594147519,11,0.32,27.8,6,고기회 지역,42.59,,10.38,31.8,28.7,31.6,100.0
교육물품/교구,대전광역시,23.39,1.0,77,12530991061,6,0.54,8.2,14,기회 검토,40.74,,8.58,21.9,12.0,54.3,100.0
교육물품/교구,부산광역시,24.29,1.0,447,44892444567,18,0.24,52.4,12,기회 검토,39.56,,8.65,22.3,16.1,24.1,100.0
교육물품/교구,서울특별시,21.23,1.0,31,6852677800,16,0.53,2.7,17,기회 검토,39.13,,7.48,15.9,2.2,52.6,100.0
교육물품/교구,세종특별자치시,35.42,1.0,26,6443408930,1,1.0,2.1,1,고기회 지역,43.83,,13.97,51.5,66.6,100.0,100.0
교육물품/교구,울산광역시,23.98,1.0,84,8372945050,7,0.53,9.1,13,기회 검토,38.44,,8.3,20.4,14.6,52.6,100.0
교육물품/교구,인천광역시,27.59,1.0,144,16003489605,9,0.59,16.2,5,고기회 지역,41.22,,10.23,31.0,31.0,59.5,100.0
교육물품/교구,전라남도,22.26,1.0,20,3586146450,3,0.0,1.4,15,기회 검토,38.74,,7.76,17.4,6.9,0.0,100.0
교육물품/교구,전라북도,26.03,1.0,471,49498752703,20,,55.3,7,기회 검토,39.45,,9.24,25.5,24.0,,100.0
교육물품/교구,제주특별자치도,29.87,1.0,89,15123308616,3,0.47,9.7,4,고기회 지역,40.59,,10.91,34.7,41.4,46.6,100.0
교육물품/교구,충청남도,21.91,1.0,8,877003760,1,0.27,0.0,16,데이터 부족,39.92,,7.87,18.0,5.2,26.7,100.0
교육물품/교구,충청북도,31.49,1.0,15,1218546160,2,0.31,0.8,3,고기회 지역,39.96,,11.33,37.0,48.8,31.0,100.0
급수/전기/설비,강원특별자치도,23.41,0.94,280,52241507085,24,0.44,55.8,13,기회 검토,38.69,,8.15,19.5,12.1,44.4,94.4
급수/전기/설비,경기도,24.46,1.0,69,3457954835,16,0.93,10.7,9,소비층 적합,41.69,,9.18,25.2,16.9,93.1,100.0
급수/전기/설비,경상남도,25.38,1.0,106,7266033870,16,0.53,18.6,5,기회 검토,40.17,,9.18,25.2,21.0,52.8,100.0
급수/전기/설비,경상북도,24.46,1.0,138,7897244765,20,0.17,25.4,10,기회 검토,39.26,,8.64,22.2,16.8,16.7,100.0
급수/전기/설비,광주광역시,23.38,0.99,253,85214082654,19,0.49,50.0,14,기회 검토,39.5,,8.31,20.4,11.9,48.6,99.4
급수/전기/설비,대구광역시,24.52,1.0,362,45002122072,24,0.5,73.3,8,물류 거점 후보,42.59,,9.4,26.4,17.1,50.3,99.8
급수/전기/설비,대전광역시,24.88,0.98,352,72425695818,24,0.53,71.2,6,물류 거점 후보,40.74,,9.12,24.9,18.8,52.8,98.0
급수/전기/설비,부산광역시,24.28,0.99,356,130261284673,29,0.44,72.0,11,물류 거점 후보,39.56,,8.64,22.2,16.0,44.4,98.8
급수/전기/설비,서울특별시,22.04,1.0,72,90061385052,12,0.72,11.3,15,소비층 적합,39.13,,7.76,17.4,5.8,72.2,100.0
급수/전기/설비,세종특별자치시,32.82,1.0,19,6166459413,1,1.0,0.0,1,고기회 지역,43.83,,12.95,45.9,54.8,100.0,100.0
급수/전기/설비,울산광역시,26.19,1.0,335,61204388420,13,0.83,67.5,4,소비층 적합,38.44,,9.06,24.5,24.7,83.3,100.0
급수/전기/설비,인천광역시,26.37,0.99,487,168538353455,14,0.74,100.0,3,소비층 적합,41.22,,9.78,28.5,25.5,73.6,99.0
급수/전기/설비,전라남도,20.98,0.93,68,5615464000,20,0.0,10.5,17,기회 검토,38.74,,7.32,15.0,1.0,0.0,93.3
급수/전기/설비,전라북도,24.75,1.0,198,46770018992,17,,38.2,7,기회 검토,39.45,,8.79,23.1,18.2,,100.0
급수/전기/설비,제주특별자치도,29.47,0.99,134,56744925298,5,0.65,24.6,2,고기회 지역,40.59,,10.77,33.9,39.6,65.3,98.8
급수/전기/설비,충청남도,24.17,1.0,93,25062811291,16,0.44,15.8,12,기회 검토,39.92,,8.68,22.5,15.5,44.4,100.0
급수/전기/설비,충청북도,21.78,1.0,34,2964713535,9,0.49,3.2,16,기회 검토,39.96,,7.83,17.8,4.7,48.6,100.0
급식/식자재,강원특별자치도,22.77,1.0,29,7491450858,10,0.17,6.6,11,기회 검토,29.5,0.128,5.86,7.0,9.2,17.3,100.0
급식/식자재,경기도,24.66,1.0,180,47132821422,22,0.77,46.6,5,소비층 적합,26.6,0.15,5.58,5.4,17.7,76.9,100.0
급식/식자재,경상남도,22.32,1.0,13,320045860,2,0.28,2.4,13,기회 검토,27.1,0.147,5.16,3.1,7.1,28.3,100.0
급식/식자재,경상북도,24.04,1.0,13,596744000,3,0.08,2.4,10,기회 검토,28.3,0.141,5.84,6.9,14.9,7.5,100.0
급식/식자재,광주광역시,24.84,1.0,168,11129303470,8,0.52,43.4,4,기회 검토,24.3,0.165,5.04,2.5,18.6,52.0,100.0
급식/식자재,대구광역시,24.26,1.0,363,11989422162,15,0.35,95.0,8,물류 거점 후보,26.4,0.154,5.42,4.6,15.9,34.7,100.0
급식/식자재,대전광역시,24.44,1.0,78,9288323356,5,0.55,19.6,6,기회 검토,26.7,0.153,5.53,5.2,16.8,54.9,100.0
급식/식자재,부산광역시,24.26,1.0,382,21716307613,21,0.29,100.0,7,물류 거점 후보,27.2,0.148,5.62,5.7,15.9,28.9,100.0
급식/식자재,서울특별시,20.85,1.0,16,3050569920,6,0.62,3.2,17,소비층 적합,29.2,0.142,5.22,3.5,0.4,62.4,100.0
급식/식자재,세종특별자치시,24.22,1.0,36,5050985165,1,1.0,8.5,9,소비층 적합,25.3,0.149,5.21,3.4,15.7,100.0,100.0
급식/식자재,울산광역시,25.3,1.0,77,17204211020,4,0.53,19.3,2,기회 검토,25.1,0.149,5.4,4.4,20.6,52.6,100.0
급식/식자재,인천광역시,25.07,1.0,128,13712774115,7,0.61,32.8,3,소비층 적합,25.6,0.153,5.44,4.7,19.6,61.3,100.0
급식/식자재,전라남도,21.39,1.0,4,1022103800,2,0.0,0.0,15,데이터 부족,28.1,0.139,5.18,3.2,2.9,0.0,100.0
급식/식자재,전라북도,22.35,0.99,69,14238146060,9,,17.2,12,기회 검토,25.9,0.165,4.83,1.3,7.3,,98.9
급식/식자재,제주특별자치도,29.52,1.0,58,7691327827,2,0.45,14.3,1,고기회 지역,29.8,0.138,7.58,16.4,39.8,45.1,100.0
급식/식자재,충청남도,22.23,1.0,12,13869922200,5,0.25,2.1,14,기회 검토,26.9,0.139,5.15,3.1,6.7,24.9,100.0
급식/식자재,충청북도,21.28,1.0,9,695000000,3,0.31,1.3,16,데이터 부족,25.6,0.157,4.59,0.0,2.4,30.6,100.0
기타/미분류,강원특별자치도,28.73,0.99,1206,389475335796,34,0.27,88.1,4,고기회 지역,38.93,0.0962,10.11,30.3,36.2,26.8,98.7
기타/미분류,경기도,27.78,1.0,1332,759923026753,49,0.89,98.8,6,고기회 지역,40.58,0.1023,10.12,30.4,31.9,89.4,100.0
기타/미분류,경상남도,25.98,1.0,686,97618104131,29,0.36,44.1,12,기회 검토,39.98,0.0989,9.36,26.2,23.7,35.8,100.0
기타/미분류,경상북도,27.68,1.0,616,86036884006,32,0.11,38.1,7,고기회 지역,38.87,0.0993,9.69,28.0,31.5,10.6,100.0
기타/미분류,광주광역시,25.44,1.0,784,181758581662,30,0.63,52.4,14,소비층 적합,38.84,0.0973,8.92,23.8,21.3,63.4,100.0
기타/미분류,대구광역시,24.56,1.0,913,268777540776,35,0.49,63.3,16,기회 검토,41.42,0.1027,9.13,24.9,17.3,48.7,100.0
기타/미분류,대전광역시,28.48,0.99,647,119138882972,27,0.66,40.8,5,고기회 지역,39.62,0.1146,9.99,29.7,35.1,65.8,99.3
기타/미분류,부산광역시,25.96,1.0,1346,342192016563,49,0.43,100.0,13,물류 거점 후보,38.03,0.1117,8.77,23.0,23.6,43.1,99.7
기타/미분류,서울특별시,21.86,1.0,166,42384422350,25,0.88,0.0,17,소비층 적합,37.09,0.1,7.3,14.9,5.0,87.8,100.0
기타/미분류,세종특별자치시,42.77,1.0,227,101115264423,1,1.0,5.2,1,고기회 지역,44.03,0.1142,16.68,66.4,100.0,100.0,100.0
기타/미분류,울산광역시,27.1,1.0,737,353474080482,20,0.63,48.4,9,고기회 지역,38.58,0.1008,9.4,26.4,28.8,63.4,100.0
기타/미분류,인천광역시,26.6,0.99,985,507644452745,24,0.78,69.4,10,소비층 적합,40.8,0.1106,9.65,27.8,26.5,78.0,98.8
기타/미분류,전라남도,27.27,1.0,588,92796507332,33,0.0,35.8,8,고기회 지역,37.75,0.1057,9.2,25.3,29.6,0.0,100.0
기타/미분류,전라북도,31.26,0.99,1320,537810317366,23,,97.8,2,고기회 지역,39.11,0.1074,10.91,34.7,47.7,,99.4
기타/미분류,제주특별자치도,29.88,1.0,694,139001508187,7,0.53,44.7,3,고기회 지역,38.56,0.0996,10.37,31.7,41.5,52.8,100.0
기타/미분류,충청남도,26.36,1.0,523,67455355623,29,0.29,30.3,11,기회 검토,39.84,0.1034,9.41,26.5,25.4,29.3,100.0
기타/미분류,충청북도,25.16,1.0,322,29637730391,20,0.37,13.2,15,기회 검토,40.22,0.0956,9.15,25.0,20.0,37.4,100.0
방역/소독,강원특별자치도,23.97,1.0,142,5958213819,15,0.96,100.0,6,소비층 적합,38.69,,8.35,20.6,14.6,96.0,100.0
방역/소독,경기도,24.77,1.0,136,10535310840,18,0.56,95.7,4,물류 거점 후보,41.69,,9.29,25.8,18.2,56.0,100.0
방역/소독,경상북도,20.76,1.0,2,88500000,2,0.76,0.0,15,데이터 부족,39.26,,7.33,15.0,0.0,76.0,100.0
방역/소독,광주광역시,23.66,1.0,90,4628500670,7,0.08,62.9,7,기회 검토,39.5,,8.41,21.0,13.2,8.0,100.0
방역/소독,대구광역시,22.27,1.0,8,445918212,2,0.5,4.3,13,데이터 부족,42.59,,8.54,21.7,6.9,50.4,100.0
방역/소독,대전광역시,24.68,1.0,68,9277528380,8,0.0,47.1,5,기회 검토,40.74,,9.05,24.5,17.8,0.0,100.0
방역/소독,부산광역시,22.28,1.0,13,2584248744,3,0.56,7.9,12,기회 검토,39.56,,7.93,18.3,6.9,56.0,100.0
방역/소독,서울특별시,21.91,1.0,12,1323582450,9,0.36,7.1,14,기회 검토,39.13,,7.72,17.2,5.3,36.0,100.0
방역/소독,세종특별자치시,23.46,1.0,15,1937038935,1,0.16,9.3,9,기회 검토,43.83,,9.25,25.6,12.3,16.0,100.0
방역/소독,울산광역시,22.83,1.0,44,3328349950,4,0.68,30.0,10,소비층 적합,38.44,,7.9,18.2,9.4,68.0,100.0
방역/소독,인천광역시,26.06,1.0,79,8110125868,11,0.4,55.0,3,기회 검토,41.22,,9.67,27.9,24.1,40.0,100.0
방역/소독,전라남도,23.56,1.0,3,65163300,1,0.48,0.7,8,데이터 부족,38.74,,8.21,19.9,12.7,48.0,100.0
방역/소독,전라북도,22.6,1.0,22,54211280680,5,,14.3,11,기회 검토,39.45,,8.02,18.8,8.4,,100.0
방역/소독,제주특별자치도,26.29,1.0,53,1974955476,3,0.76,36.4,2,소비층 적합,40.59,,9.6,27.5,25.1,76.0,100.0
방역/소독,충청남도,27.79,1.0,2,70610000,1,0.68,0.0,1,데이터 부족,39.92,,9.98,29.6,32.0,68.0,100.0
보험/금융,강원특별자치도,26.36,1.0,173,39391568468,18,0.44,100.0,2,물류 거점 후보,38.93,0.0962,9.27,25.7,25.4,44.4,100.0
보험/금융,경기도,24.62,1.0,172,84002634921,29,0.93,99.4,9,소비층 적합,40.58,0.1023,8.97,24.1,17.6,93.1,100.0
보험/금융,경상남도,23.68,1.0,44,681266270,10,0.53,22.3,11,기회 검토,39.98,0.0989,8.53,21.6,13.3,52.8,100.0
보험/금융,경상북도,22.97,1.0,22,1180367020,6,0.17,9.0,13,기회 검토,38.87,0.0993,8.04,18.9,10.1,16.7,100.0
보험/금융,광주광역시,27.26,1.0,101,16395346200,9,0.49,56.6,1,고기회 지역,38.84,0.0973,9.56,27.3,29.5,48.6,100.0
보험/금융,대구광역시,25.83,1.0,62,11951531100,6,0.5,33.1,4,기회 검토,41.42,0.1027,9.6,27.5,23.0,50.3,100.0
보험/금융,대전광역시,24.84,1.0,41,7447758450,4,0.53,20.5,7,기회 검토,39.62,0.1146,8.72,22.7,18.6,52.8,100.0
보험/금융,부산광역시,22.5,1.0,72,6363732242,18,0.44,39.2,16,기회 검토,38.03,0.1117,7.6,16.5,7.9,44.4,100.0
보험/금융,서울특별시,22.58,1.0,54,24466995464,18,0.72,28.3,15,소비층 적합,37.09,0.1,7.54,16.2,8.3,72.2,100.0
보험/금융,세종특별자치시,22.77,1.0,18,525945103,1,1.0,6.6,14,소비층 적합,44.03,0.1142,8.88,23.6,9.2,100.0,100.0
보험/금융,울산광역시,23.49,1.0,60,11116626160,9,0.83,31.9,12,소비층 적합,38.58,0.1008,8.15,19.5,12.4,83.3,100.0
보험/금융,인천광역시,24.68,1.0,105,21671623715,13,0.74,59.0,8,소비층 적합,40.8,0.1106,8.96,24.0,17.8,73.6,100.0
보험/금융,전라남도,24.6,1.0,53,12102447845520,13,0.0,27.7,10,기회 검토,37.75,0.1057,8.31,20.4,17.5,0.0,100.0
보험/금융,전라북도,25.49,1.0,109,29788405150,14,,61.4,5,기회 검토,39.11,0.1074,8.9,23.7,21.5,,100.0
보험/금융,제주특별자치도,26.13,1.0,52,4794938940,3,0.65,27.1,3,소비층 적합,38.56,0.0996,9.07,24.6,24.4,65.3,100.0
보험/금융,충청남도,25.03,1.0,54,914964715,11,0.44,28.3,6,기회 검토,39.84,0.1034,8.94,23.9,19.4,44.4,100.0
보험/금융,충청북도,21.3,1.0,7,191821330,2,0.49,0.0,17,데이터 부족,40.22,0.0956,7.75,17.4,2.5,48.6,100.0
사무용품/소모품,대구광역시,23.24,1.0,1,76340000,1,0.49,0.0,2,데이터 부족,41.42,0.1027,8.64,22.2,11.3,48.7,100.0
사무용품/소모품,부산광역시,21.4,1.0,5,357329163,1,0.43,20.0,3,데이터 부족,38.03,0.1117,7.23,14.5,2.9,43.1,100.0
사무용품/소모품,서울특별시,25.72,1.0,21,5172917000,2,0.88,100.0,1,소비층 적합,37.09,0.1,8.59,22.0,22.6,87.8,100.0
사무용품/소모품,전라남도,20.92,1.0,1,9187200,1,0.0,0.0,4,데이터 부족,37.75,0.1057,7.06,13.6,0.7,0.0,100.0
시설유지보수,강원특별자치도,28.73,0.92,1335,490635991058,28,0.44,97.3,3,고기회 지역,38.9,0.063,10.47,32.3,36.2,44.4,92.4
시설유지보수,경기도,26.63,0.97,607,140405325636,35,0.93,32.6,9,고기회 지역,41.2,0.087,10.02,29.8,26.7,93.1,96.7
시설유지보수,경상남도,27.11,1.0,414,19503505472,20,0.53,15.5,7,고기회 지역,39.8,0.064,10.1,30.3,28.9,52.8,100.0
시설유지보수,경상북도,27.8,1.0,507,19935547738,27,0.17,23.7,5,고기회 지역,42.3,0.06,11.06,35.5,32.0,16.7,99.9
시설유지보수,광주광역시,25.03,0.94,1215,489946197902,39,0.49,86.7,14,물류 거점 후보,42.8,0.074,9.92,29.3,19.4,48.6,94.0
시설유지보수,대구광역시,23.64,0.86,867,345930695714,37,0.5,55.7,17,기회 검토,45.0,0.074,9.85,28.9,13.1,50.3,86.0
시설유지보수,대전광역시,24.65,0.94,1244,227312788397,37,0.53,89.2,15,물류 거점 후보,42.7,0.07,9.79,28.6,17.7,52.8,94.2
시설유지보수,부산광역시,25.21,0.87,1365,347224243625,53,0.44,100.0,13,물류 거점 후보,42.0,0.08,9.74,28.3,20.2,44.4,87.4
시설유지보수,서울특별시,25.98,0.97,569,396165953798,25,0.72,29.2,12,소비층 적합,43.6,0.071,10.52,32.6,23.7,72.2,97.0
시설유지보수,세종특별자치시,33.46,0.99,283,69010028920,2,1.0,3.8,2,고기회 지역,39.6,0.083,12.15,41.5,57.7,100.0,99.3
시설유지보수,울산광역시,26.4,0.99,805,171443339417,21,0.83,50.2,11,소비층 적합,37.8,0.071,9.27,25.7,25.7,83.3,99.1
시설유지보수,인천광역시,28.47,0.99,1185,713643955696,23,0.74,84.0,4,고기회 지역,42.2,0.093,10.9,34.7,35.1,73.6,99.1
시설유지보수,전라남도,26.56,1.0,514,26385144076,29,0.0,24.4,10,기회 검토,42.4,0.059,10.6,33.0,26.4,0.0,99.7
시설유지보수,전라북도,27.11,0.89,1128,646500769456,26,,78.9,6,고기회 지역,40.1,0.097,9.82,28.7,28.9,,88.7
시설유지보수,제주특별자치도,33.93,0.88,786,209518917637,5,0.65,48.5,1,고기회 지역,38.0,0.083,11.82,39.7,59.9,65.3,88.2
시설유지보수,충청남도,26.72,1.0,433,16250844174,24,0.44,17.2,8,고기회 지역,39.3,0.069,9.78,28.5,27.1,44.4,100.0
시설유지보수,충청북도,24.37,1.0,240,16650389920,13,0.49,0.0,16,기회 검토,42.7,0.067,9.71,28.1,16.4,48.6,99.5
의료/복지용품,강원특별자치도,24.62,1.0,10,2719029890,2,0.73,23.5,10,소비층 적합,54.1,0.034,12.87,45.5,17.6,73.4,100.0
의료/복지용품,경기도,21.46,1.0,23,2382138260,8,0.19,61.8,16,기회 검토,65.3,0.031,13.58,49.4,3.2,18.6,100.0
의료/복지용품,경상남도,21.93,1.0,2,72900000,1,0.61,0.0,14,데이터 부족,57.7,0.036,12.2,41.8,5.3,61.2,100.0
의료/복지용품,경상북도,22.57,1.0,17,1066692260,4,0.89,44.1,12,소비층 적합,61.0,0.027,13.39,48.3,8.2,88.8,100.0
의료/복지용품,광주광역시,29.18,1.0,11,364607682,2,0.51,26.5,3,고기회 지역,61.1,0.036,17.19,69.2,38.3,50.5,100.0
의료/복지용품,대구광역시,28.94,1.0,24,1316649800,3,0.61,64.7,4,고기회 지역,65.1,0.027,18.33,75.5,37.2,61.2,100.0
의료/복지용품,대전광역시,30.42,1.0,15,2463445937,2,0.46,38.2,1,고기회 지역,62.9,0.034,18.48,76.3,43.9,46.3,100.0
의료/복지용품,부산광역시,21.61,1.0,16,855561204,2,0.68,41.2,15,소비층 적합,64.4,0.033,13.46,48.7,3.9,68.1,100.0
의료/복지용품,서울특별시,25.42,1.0,9,662467500,3,0.4,20.6,9,데이터 부족,64.7,0.032,15.92,62.2,21.2,39.9,100.0
의료/복지용품,세종특별자치시,23.13,1.0,4,302880000,1,0.0,5.9,11,데이터 부족,77.2,0.048,17.0,68.1,10.8,0.0,100.0
의료/복지용품,울산광역시,28.08,1.0,23,819319184,2,0.36,61.8,6,고기회 지역,63.2,0.029,17.23,69.4,33.3,35.6,100.0
의료/복지용품,인천광역시,22.25,1.0,7,4482850660,1,0.35,14.7,13,데이터 부족,59.4,0.036,12.74,44.8,6.8,35.1,100.0
의료/복지용품,전라남도,25.9,1.0,17,1022440071,3,1.0,44.1,7,소비층 적합,55.0,0.043,13.63,49.6,23.4,100.0,100.0
의료/복지용품,전라북도,25.44,1.0,25,963104832,5,,67.6,8,기회 검토,59.8,0.034,14.7,55.5,21.3,,100.0
의료/복지용품,제주특별자치도,29.9,1.0,36,1686201540,1,0.46,100.0,2,고기회 지역,78.2,0.025,22.8,100.0,41.5,46.3,100.0
