untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14086942,물품,,R26TA0177149000,기장읍 청강리 267-5번지 주변 노후관 개량공사(KP부속 등 16종),N,신규,,30,지방계약법 (제25조제1항5호나목),0,3259480,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)신진수도^김정학^대한민국^100^(주)신진수도^^6178129366],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771490&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:30:25,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,3259480
R26TE14086946,물품,,R26TA0177149200,"(단가, 소액수의)울진308함 MGPS(해양생물부착방지장치) 교체수리",N,신규,,26.4.13.~26.4.15.,국가계약법 (제26조제1항5호가3목),0,1988000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^에스마린^서유도^대한민국^100^에스마린^^5890101907],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771492&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업.소상공인 계약),수의계약,2026-04-20 08:31:03,,0.125,,,,,2026-04-13,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,1988000
R26TE14086961,물품,,R26TA0177149600,기장읍 대라리 140-8번지 주변 노후관 개량공사(제수밸브),N,신규,,30,지방계약법 (제25조제1항5호나목),0,8592000,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^주식회사 제운^진기종^대한민국^100^주식회사 제운^^6068661167],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771496&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:34:18,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,8592000
R26TE14086977,물품,,R26TA0177150000,기장읍 청강리 267-5번지 주변 노후관 개량공사(제수밸브),N,신규,,30,지방계약법 (제25조제1항5호나목),0,968000,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^주식회사 제운^진기종^대한민국^100^주식회사 제운^^6068661167],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771500&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:37:37,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,968000
R26TE14087076,물품,,R26TA0177153000,"(단가, 소액수의)울진 308함 주기 신축이음관 교체 수리(수리범위1)",N,신규,,26.4.13.~26.4.19.,국가계약법 (제26조제1항5호가3목),0,4950000,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^주식회사 아라트^김명우^대한민국^100^주식회사 아라트^^5468601417],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771530&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업.소상공인 계약),수의계약,2026-04-20 08:47:23,,0.125,,,,,2026-04-13,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,4950000
R26TE14087086,물품,,R26TA0177153100,구포3동 시랑로181번길21 신규급수공사외 자재(수도미터기보호통 13mm 3개외 21종),N,신규,,,지방계약법 (제25조제1항5호나목),0,14365630,5,http://www.g2b.go.kr,직불,,,6260111,부산광역시 상수도사업본부 북부사업소,지방자치단체,업무부서,이태우,051-669-5305,051-669-5309,[1^6260111^부산광역시 상수도사업본부 북부사업소^지방자치단체^업무부서^이태우^0516695305],[1^주계약업체^단독^(주)한국산업코어^김성수^대한민국^100^(주)한국산업코어^^6068661338],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771531&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도사업본부 북부사업소장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:48:05,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 북부사업소,14365630
R26TE14087112,물품,,R26TA0177153200,기장읍 대라리 140-8번지 주변 노후관 개량공사(P.F.P이음관 등 7종),N,신규,,30,지방계약법 (제25조제1항5호나목),0,8402110,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)동광파이프^김혜민^대한민국^100^(주)동광파이프^^6038133269],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771532&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:49:53,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,8402110
R26TE14087196,물품,,R26TA0177155200,기장읍 청강리 267-5번지 주변 노후관 개량공사(P.F.P이음관 등 6종),N,신규,,30,지방계약법 (제25조제1항5호나목),0,5987340,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)동광파이프^김혜민^대한민국^100^(주)동광파이프^^6038133269],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771552&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 08:55:17,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,5987340
R26TE14087198,물품,,R26TA0177157200,"(단가, 유찰, 수의)제주 P-16정 양현 주기관 청수쿨러 소제 검사수리",N,신규,,26.4.7.~26.4.13.,국가계약법 (제27조제1항),0,1079440,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^범창주식회사^윤병구^대한민국^100^범창주식회사^^6088178562],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771572&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,재공고입찰등과 수의계약,수의계약,2026-04-20 08:55:18,,0.125,,,,,2026-04-07,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,1079440
R26TE14087221,물품,R25TA0084315202,R25TA0084315202,"2026학년도 사하중학교 교복(동복, 하복)학교주관구매   [2단계(규격-가격 분리)동시입찰) 계약",N,신규,2026-04-20,,지방계약법 (제7조의2제2항1호),0,37506000,5,http://www.g2b.go.kr,직불,,R25BK00983173,7170044,부산광역시서부교육청 사하중학교,교육기관,행정실,노아람,,,[1^7170044^부산광역시서부교육청 사하중학교^교육기관^행정실^노아람^],[1^주계약업체^단독^스마트사하점^류승훈^대한민국^100^스마트사하점^^6030682569],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00843152&ctrtChgOrd=02&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,사하중학교,"[판로지원법] 중기간경쟁제품 소기업 소상공인 제한경쟁, 공동사업",제한경쟁,2026-04-20 08:56:39,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시서부교육청 사하중학교,37506000
R26TE14087420,물품,R26TA0136792901,R26TA0136792901,아스팔트(AP-3) 구매(2026년 1차),N,신규,2026-04-20,계약일로부터 90일,지방계약법 (제20조제1항6호),0,264772200,5,http://www.g2b.go.kr,직불,,R26BK01263530,6260000,부산광역시,지방자치단체,회계재산담당관,김주홍,051-888-2244,,[1^6260000^부산광역시^지방자치단체^회계재산담당관^김주홍^0518882244],[1^주계약업체^단독^그린환경산업^김미숙^대한민국^100^그린환경산업^^6211456201],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01367929&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시장,행정안전부령 금액 미만 본점소재지,제한경쟁,2026-04-20 09:03:37,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시,264772200
R26TE14088137,물품,,R26TA0177174100,"(단가, 유찰, 수의)완도 323함 NO.1,2 발전기관 중요부품 소제 및 분해검사수리",N,신규,,26.4.14.~26.4.16.,국가계약법 (제27조제1항),0,2635440,10,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,김대성,051-419-2417,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^김대성^0514192417],[1^주계약업체^단독^범창주식회사^윤병구^대한민국^100^범창주식회사^^6088178562],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771741&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,재공고입찰등과 수의계약,수의계약,2026-04-20 09:23:27,,0.125,,,,,2026-04-14,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,2635440
R26TE14088338,물품,R26TA0177147800,R26TA0177147800,기장읍 대라리 140-8번지 주변 노후관 개량공사(KP부속 등 20종),N,신규,2026-04-20,30,지방계약법 (제25조제1항5호나목),0,7397620,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)신진수도^김정학^대한민국^100^(주)신진수도^^6178129366],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771478&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 09:28:28,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,7397620
R26TE14088389,물품,R26TA0177149000,R26TA0177149000,기장읍 청강리 267-5번지 주변 노후관 개량공사(KP부속 등 16종),N,신규,2026-04-20,30,지방계약법 (제25조제1항5호나목),0,3259480,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)신진수도^김정학^대한민국^100^(주)신진수도^^6178129366],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771490&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 09:29:30,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,3259480
R26TE14088438,물품,R26TA0177155200,R26TA0177155200,기장읍 청강리 267-5번지 주변 노후관 개량공사(P.F.P이음관 등 6종),N,신규,2026-04-20,30,지방계약법 (제25조제1항5호나목),0,5987340,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)동광파이프^김혜민^대한민국^100^(주)동광파이프^^6038133269],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771552&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 09:30:55,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,5987340
R26TE14088455,물품,R26TA0177153200,R26TA0177153200,기장읍 대라리 140-8번지 주변 노후관 개량공사(P.F.P이음관 등 7종),N,신규,2026-04-20,30,지방계약법 (제25조제1항5호나목),0,8402110,5,http://www.g2b.go.kr,직불,,,6260360,부산광역시 상수도사업본부 기장사업소,지방자치단체,기장사업소업무부서,김우열,051-669-5556,051-669-5559,[1^6260360^부산광역시 상수도사업본부 기장사업소^지방자치단체^기장사업소업무부서^김우열^0516695556],[1^주계약업체^단독^(주)동광파이프^김혜민^대한민국^100^(주)동광파이프^^6038133269],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01771532&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도본부 기장사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 09:31:33,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 기장사업소,8402110
R26TE14088644,물품,R26TA0176806700,R26TA0176806700,축상용 리어커버 등 5종 구매,N,신규,2026-04-20,,지방계약법 (제25조제1항5호나목),0,9560000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,김예지,,,[1^B551542^부산교통공사^지방공기업^회계자산처^김예지^],[1^주계약업체^단독^우림^강민성^대한민국^100^우림^^6052137331],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01768067&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-04-20 09:37:05,,0.08,,,,,2026-04-20,N,getCntrctInfoListThng,물품,부산교통공사,9560000
