ym,item_category,bid_count,amount_sum,ym_str,t,fitted,residual,month,is_forecast,trend,slope_per_month,seasonal_cv,has_seasonality
2024-10,건설/감리,177,136785390740.0,2024-10,6,91.2,85.8,10.0,False,증가,13.37,0.527,True
2024-11,건설/감리,83,74643218080.0,2024-11,7,91.3,-8.299999999999997,11.0,False,증가,13.37,0.527,True
2024-12,건설/감리,28,18311691900.0,2024-12,8,91.5,-63.5,12.0,False,증가,13.37,0.527,True
2025-01,건설/감리,38,17121413299.0,2025-01,9,91.6,-53.599999999999994,1.0,False,증가,13.37,0.527,True
2025-02,건설/감리,28,5655338000.0,2025-02,10,91.8,-63.8,2.0,False,증가,13.37,0.527,True
2025-03,건설/감리,34,8028559670.0,2025-03,11,92.0,-58.0,3.0,False,증가,13.37,0.527,True
2025-04,건설/감리,106,39097099500.0,2025-04,12,92.1,13.900000000000006,4.0,False,증가,13.37,0.527,True
2025-05,건설/감리,159,82501246100.0,2025-05,13,92.3,66.7,5.0,False,증가,13.37,0.527,True
2025-06,건설/감리,128,105189134000.0,2025-06,14,92.5,35.5,6.0,False,증가,13.37,0.527,True
2025-07,건설/감리,146,95483994000.0,2025-07,15,92.6,53.400000000000006,7.0,False,증가,13.37,0.527,True
2025-08,건설/감리,131,70541849627.0,2025-08,16,92.8,38.2,8.0,False,증가,13.37,0.527,True
2025-09,건설/감리,117,229748392667.0,2025-09,17,93.0,24.0,9.0,False,증가,13.37,0.527,True
2025-10,건설/감리,119,119937675222.0,2025-10,18,93.1,25.900000000000006,10.0,False,증가,13.37,0.527,True
2025-11,건설/감리,73,48571525000.0,2025-11,19,93.3,-20.299999999999997,11.0,False,증가,13.37,0.527,True
2025-12,건설/감리,28,41923428000.0,2025-12,20,93.5,-65.5,12.0,False,증가,13.37,0.527,True
2026-01,건설/감리,63,24224309501.0,2026-01,21,93.6,-30.599999999999994,1.0,False,증가,13.37,0.527,True
2026-02,건설/감리,102,25389082000.0,2026-02,22,93.8,8.200000000000003,2.0,False,증가,13.37,0.527,True
2026-03,건설/감리,37,12171439000.0,2026-03,23,94.0,-57.0,3.0,False,증가,13.37,0.527,True
2026-04,건설/감리,139,53867570401.0,2026-04,24,94.1,44.900000000000006,4.0,False,증가,13.37,0.527,True
2026-05,건설/감리,89,68962582800.0,2026-05,25,94.3,-5.299999999999997,5.0,False,증가,13.37,0.527,True
2026-06,건설/감리,,,2026-06,26,113.0,,,True,증가,13.37,0.527,True
2026-07,건설/감리,,,2026-07,27,112.5,,,True,증가,13.37,0.527,True
2026-08,건설/감리,,,2026-08,28,152.0,,,True,증가,13.37,0.527,True
2026-09,건설/감리,,,2026-09,29,134.5,,,True,증가,13.37,0.527,True
2026-10,건설/감리,,,2026-10,30,151.0,,,True,증가,13.37,0.527,True
2026-11,건설/감리,,,2026-11,31,81.0,,,True,증가,13.37,0.527,True
2024-04,교육/교구,1,113000000.0,2024-04,0,528.8,-527.8,4.0,False,감소,-157.31,0.666,True
2024-05,교육/교구,515,53096552246.0,2024-05,1,536.4,-21.399999999999977,5.0,False,감소,-157.31,0.666,True
2024-06,교육/교구,653,62653462818.0,2024-06,2,544.0,109.0,6.0,False,감소,-157.31,0.666,True
2024-07,교육/교구,670,76337159374.0,2024-07,3,551.6,118.39999999999998,7.0,False,감소,-157.31,0.666,True
2024-08,교육/교구,572,61608943448.0,2024-08,4,559.2,12.799999999999955,8.0,False,감소,-157.31,0.666,True
2024-09,교육/교구,456,60396622818.0,2024-09,5,566.8,-110.79999999999995,9.0,False,감소,-157.31,0.666,True
2024-10,교육/교구,439,91970767436.0,2024-10,6,574.4,-135.39999999999998,10.0,False,감소,-157.31,0.666,True
2024-11,교육/교구,448,89940572699.0,2024-11,7,582.1,-134.10000000000002,11.0,False,감소,-157.31,0.666,True
2024-12,교육/교구,426,68358985290.0,2024-12,8,589.7,-163.70000000000005,12.0,False,감소,-157.31,0.666,True
2025-01,교육/교구,1862,327808730276.0,2025-01,9,597.3,1264.7,1.0,False,감소,-157.31,0.666,True
2025-02,교육/교구,822,103120213673.0,2025-02,10,604.9,217.10000000000002,2.0,False,감소,-157.31,0.666,True
2025-03,교육/교구,351,37193324858.0,2025-03,11,612.5,-261.5,3.0,False,감소,-157.31,0.666,True
2025-04,교육/교구,857,87357951094.0,2025-04,12,620.1,236.89999999999998,4.0,False,감소,-157.31,0.666,True
2025-05,교육/교구,552,64390034295.0,2025-05,13,627.7,-75.70000000000005,5.0,False,감소,-157.31,0.666,True
2025-06,교육/교구,585,83616017098.0,2025-06,14,635.3,-50.299999999999955,6.0,False,감소,-157.31,0.666,True
2025-07,교육/교구,569,71163727881.0,2025-07,15,643.0,-74.0,7.0,False,감소,-157.31,0.666,True
2025-08,교육/교구,454,55977231095.0,2025-08,16,650.6,-196.60000000000002,8.0,False,감소,-157.31,0.666,True
2025-09,교육/교구,377,39301965689.0,2025-09,17,658.2,-281.20000000000005,9.0,False,감소,-157.31,0.666,True
2025-10,교육/교구,478,93869715167.0,2025-10,18,665.8,-187.79999999999995,10.0,False,감소,-157.31,0.666,True
2025-11,교육/교구,501,98594699339.0,2025-11,19,673.4,-172.39999999999998,11.0,False,감소,-157.31,0.666,True
2025-12,교육/교구,635,120054163727.0,2025-12,20,681.0,-46.0,12.0,False,감소,-157.31,0.666,True
2026-01,교육/교구,1875,311492991706.0,2026-01,21,688.6,1186.4,1.0,False,감소,-157.31,0.666,True
2026-02,교육/교구,888,136500717792.0,2026-02,22,696.2,191.79999999999995,2.0,False,감소,-157.31,0.666,True
2026-03,교육/교구,99,12459852196.0,2026-03,23,703.9,-604.9,3.0,False,감소,-157.31,0.666,True
2026-04,교육/교구,801,123632310550.0,2026-04,24,711.5,89.5,4.0,False,감소,-157.31,0.666,True
2026-05,교육/교구,336,61296164341.0,2026-05,25,719.1,-383.1,5.0,False,감소,-157.31,0.666,True
2026-06,교육/교구,,,2026-06,26,756.0,,,True,감소,-157.31,0.666,True
2026-07,교육/교구,,,2026-07,27,756.5,,,True,감소,-157.31,0.666,True
2026-08,교육/교구,,,2026-08,28,650.0,,,True,감소,-157.31,0.666,True
2026-09,교육/교구,,,2026-09,29,553.5,,,True,감소,-157.31,0.666,True
2026-10,교육/교구,,,2026-10,30,595.6,,,True,감소,-157.31,0.666,True
2026-11,교육/교구,,,2026-11,31,611.5,,,True,감소,-157.31,0.666,True
2024-04,기타,8,1623792000.0,2024-04,0,395.7,-387.7,4.0,False,증가,7.11,0.369,False
2024-05,기타,388,81702689693.0,2024-05,1,396.5,-8.5,5.0,False,증가,7.11,0.369,False
2024-06,기타,542,111928273196.0,2024-06,2,397.2,144.8,6.0,False,증가,7.11,0.369,False
2024-07,기타,577,102951257470.0,2024-07,3,398.0,179.0,7.0,False,증가,7.11,0.369,False
2024-08,기타,444,79162251728.0,2024-08,4,398.7,45.30000000000001,8.0,False,증가,7.11,0.369,False
2024-09,기타,395,70331515126.0,2024-09,5,399.5,-4.5,9.0,False,증가,7.11,0.369,False
2024-10,기타,456,161388344187.0,2024-10,6,400.2,55.80000000000001,10.0,False,증가,7.11,0.369,False
2024-11,기타,428,134604409707.0,2024-11,7,401.0,27.0,11.0,False,증가,7.11,0.369,False
2024-12,기타,453,193109320510.0,2024-12,8,401.7,51.30000000000001,12.0,False,증가,7.11,0.369,False
2025-01,기타,329,81325653083.0,2025-01,9,402.5,-73.5,1.0,False,증가,7.11,0.369,False
2025-02,기타,251,41368354658.545,2025-02,10,403.2,-152.2,2.0,False,증가,7.11,0.369,False
2025-03,기타,234,79580221500.0,2025-03,11,404.0,-170.0,3.0,False,증가,7.11,0.369,False
2025-04,기타,632,132762892866.0,2025-04,12,404.7,227.3,4.0,False,증가,7.11,0.369,False
2025-05,기타,547,151789647300.0,2025-05,13,405.5,141.5,5.0,False,증가,7.11,0.369,False
2025-06,기타,491,89758343526.0,2025-06,14,406.2,84.80000000000001,6.0,False,증가,7.11,0.369,False
2025-07,기타,462,96439533204.0,2025-07,15,406.9,55.10000000000002,7.0,False,증가,7.11,0.369,False
2025-08,기타,419,94488208334.0,2025-08,16,407.7,11.300000000000011,8.0,False,증가,7.11,0.369,False
2025-09,기타,351,89320449804.0,2025-09,17,408.4,-57.39999999999998,9.0,False,증가,7.11,0.369,False
2025-10,기타,383,185731673228.0,2025-10,18,409.2,-26.19999999999999,10.0,False,증가,7.11,0.369,False
2025-11,기타,427,208417939927.0,2025-11,19,409.9,17.100000000000023,11.0,False,증가,7.11,0.369,False
2025-12,기타,374,141187853473.0,2025-12,20,410.7,-36.69999999999999,12.0,False,증가,7.11,0.369,False
2026-01,기타,451,76606104593.0,2026-01,21,411.4,39.60000000000002,1.0,False,증가,7.11,0.369,False
2026-02,기타,336,56805554191.0,2026-02,22,412.2,-76.19999999999999,2.0,False,증가,7.11,0.369,False
2026-03,기타,126,25006902801.0,2026-03,23,412.9,-286.9,3.0,False,증가,7.11,0.369,False
2026-04,기타,729,145767819434.0,2026-04,24,413.7,315.3,4.0,False,증가,7.11,0.369,False
2026-05,기타,299,152103068466.0,2026-05,25,414.4,-115.39999999999998,5.0,False,증가,7.11,0.369,False
2026-06,기타,,,2026-06,26,530.0,,,True,증가,7.11,0.369,False
2026-07,기타,,,2026-07,27,533.0,,,True,증가,7.11,0.369,False
2026-08,기타,,,2026-08,28,445.0,,,True,증가,7.11,0.369,False
2026-09,기타,,,2026-09,29,386.5,,,True,증가,7.11,0.369,False
2026-10,기타,,,2026-10,30,433.0,,,True,증가,7.11,0.369,False
2026-11,기타,,,2026-11,31,441.0,,,True,증가,7.11,0.369,False
2024-04,도서/콘텐츠,2,85980000.0,2024-04,0,138.0,-136.0,4.0,False,감소,-29.03,0.514,True
2024-05,도서/콘텐츠,117,20912183640.0,2024-05,1,138.3,-21.30000000000001,5.0,False,감소,-29.03,0.514,True
2024-06,도서/콘텐츠,147,52791557732.0,2024-06,2,138.5,8.5,6.0,False,감소,-29.03,0.514,True
2024-07,도서/콘텐츠,182,49204920360.0,2024-07,3,138.8,43.19999999999999,7.0,False,감소,-29.03,0.514,True
2024-08,도서/콘텐츠,141,37842864010.0,2024-08,4,139.0,2.0,8.0,False,감소,-29.03,0.514,True
2024-09,도서/콘텐츠,108,43718144510.0,2024-09,5,139.3,-31.30000000000001,9.0,False,감소,-29.03,0.514,True
2024-10,도서/콘텐츠,136,40372222245.0,2024-10,6,139.5,-3.5,10.0,False,감소,-29.03,0.514,True
2024-11,도서/콘텐츠,244,80147414897.0,2024-11,7,139.8,104.19999999999999,11.0,False,감소,-29.03,0.514,True
2024-12,도서/콘텐츠,304,65665115630.0,2024-12,8,140.0,164.0,12.0,False,감소,-29.03,0.514,True
2025-01,도서/콘텐츠,158,43712226380.0,2025-01,9,140.3,17.69999999999999,1.0,False,감소,-29.03,0.514,True
2025-02,도서/콘텐츠,67,11373038845.0,2025-02,10,140.6,-73.6,2.0,False,감소,-29.03,0.514,True
2025-03,도서/콘텐츠,82,14713841340.0,2025-03,11,140.8,-58.80000000000001,3.0,False,감소,-29.03,0.514,True
2025-04,도서/콘텐츠,160,66684097368.0,2025-04,12,141.1,18.900000000000006,4.0,False,감소,-29.03,0.514,True
2025-05,도서/콘텐츠,147,49258901317.0,2025-05,13,141.3,5.699999999999989,5.0,False,감소,-29.03,0.514,True
2025-06,도서/콘텐츠,117,28154919480.0,2025-06,14,141.6,-24.599999999999994,6.0,False,감소,-29.03,0.514,True
2025-07,도서/콘텐츠,120,17817005817.0,2025-07,15,141.8,-21.80000000000001,7.0,False,감소,-29.03,0.514,True
2025-08,도서/콘텐츠,124,26885573323.0,2025-08,16,142.1,-18.099999999999994,8.0,False,감소,-29.03,0.514,True
2025-09,도서/콘텐츠,100,45257559230.0,2025-09,17,142.3,-42.30000000000001,9.0,False,감소,-29.03,0.514,True
2025-10,도서/콘텐츠,138,84594623273.0,2025-10,18,142.6,-4.599999999999994,10.0,False,감소,-29.03,0.514,True
2025-11,도서/콘텐츠,261,69782297764.0,2025-11,19,142.8,118.19999999999999,11.0,False,감소,-29.03,0.514,True
2025-12,도서/콘텐츠,288,62491118453.0,2025-12,20,143.1,144.9,12.0,False,감소,-29.03,0.514,True
2026-01,도서/콘텐츠,160,22515733796.0,2026-01,21,143.4,16.599999999999994,1.0,False,감소,-29.03,0.514,True
2026-02,도서/콘텐츠,69,6211135120.0,2026-02,22,143.6,-74.6,2.0,False,감소,-29.03,0.514,True
2026-03,도서/콘텐츠,36,7347552770.0,2026-03,23,143.9,-107.9,3.0,False,감소,-29.03,0.514,True
2026-04,도서/콘텐츠,189,64949994140.0,2026-04,24,144.1,44.900000000000006,4.0,False,감소,-29.03,0.514,True
2026-05,도서/콘텐츠,74,10531185445.0,2026-05,25,144.4,-70.4,5.0,False,감소,-29.03,0.514,True
2026-06,도서/콘텐츠,,,2026-06,26,136.6,,,True,감소,-29.03,0.514,True
2026-07,도서/콘텐츠,,,2026-07,27,155.6,,,True,감소,-29.03,0.514,True
2026-08,도서/콘텐츠,,,2026-08,28,137.1,,,True,감소,-29.03,0.514,True
2026-09,도서/콘텐츠,,,2026-09,29,108.6,,,True,감소,-29.03,0.514,True
2026-10,도서/콘텐츠,,,2026-10,30,141.6,,,True,감소,-29.03,0.514,True
2026-11,도서/콘텐츠,,,2026-11,31,257.1,,,True,감소,-29.03,0.514,True
2024-04,도시정비/재개발,1,830000000.0,2024-04,0,33.1,-32.1,4.0,False,증가,1.57,0.52,True
2024-05,도시정비/재개발,29,4955449000.0,2024-05,1,32.5,-3.5,5.0,False,증가,1.57,0.52,True
2024-06,도시정비/재개발,54,14026860000.0,2024-06,2,32.0,22.0,6.0,False,증가,1.57,0.52,True
2024-07,도시정비/재개발,38,8195700000.0,2024-07,3,31.5,6.5,7.0,False,증가,1.57,0.52,True
2024-08,도시정비/재개발,32,8088427410.0,2024-08,4,31.0,1.0,8.0,False,증가,1.57,0.52,True
2024-09,도시정비/재개발,37,6289559600.0,2024-09,5,30.4,6.600000000000001,9.0,False,증가,1.57,0.52,True
2024-10,도시정비/재개발,54,18156801000.0,2024-10,6,29.9,24.1,10.0,False,증가,1.57,0.52,True
2024-11,도시정비/재개발,33,5077300880.0,2024-11,7,29.4,3.6000000000000014,11.0,False,증가,1.57,0.52,True
2024-12,도시정비/재개발,17,3762446000.0,2024-12,8,28.9,-11.899999999999999,12.0,False,증가,1.57,0.52,True
2025-01,도시정비/재개발,15,1898774100.0,2025-01,9,28.3,-13.3,1.0,False,증가,1.57,0.52,True
2025-02,도시정비/재개발,11,2193854000.0,2025-02,10,27.8,-16.8,2.0,False,증가,1.57,0.52,True
2025-03,도시정비/재개발,13,2309649700.0,2025-03,11,27.3,-14.3,3.0,False,증가,1.57,0.52,True
2025-04,도시정비/재개발,22,3627152000.0,2025-04,12,26.8,-4.800000000000001,4.0,False,증가,1.57,0.52,True
2025-05,도시정비/재개발,35,11383826000.0,2025-05,13,26.2,8.8,5.0,False,증가,1.57,0.52,True
2025-06,도시정비/재개발,37,6717892000.0,2025-06,14,25.7,11.3,6.0,False,증가,1.57,0.52,True
2025-07,도시정비/재개발,38,5508085000.0,2025-07,15,25.2,12.8,7.0,False,증가,1.57,0.52,True
2025-08,도시정비/재개발,20,6651771000.0,2025-08,16,24.7,-4.699999999999999,8.0,False,증가,1.57,0.52,True
2025-09,도시정비/재개발,47,10104023000.0,2025-09,17,24.1,22.9,9.0,False,증가,1.57,0.52,True
2025-10,도시정비/재개발,40,11761943000.0,2025-10,18,23.6,16.4,10.0,False,증가,1.57,0.52,True
2025-11,도시정비/재개발,23,7956977000.0,2025-11,19,23.1,-0.10000000000000142,11.0,False,증가,1.57,0.52,True
2025-12,도시정비/재개발,10,1700056000.0,2025-12,20,22.6,-12.600000000000001,12.0,False,증가,1.57,0.52,True
2026-01,도시정비/재개발,19,1739932999.0,2026-01,21,22.0,-3.0,1.0,False,증가,1.57,0.52,True
2026-02,도시정비/재개발,13,1471738000.0,2026-02,22,21.5,-8.5,2.0,False,증가,1.57,0.52,True
2026-03,도시정비/재개발,6,1765851000.0,2026-03,23,21.0,-15.0,3.0,False,증가,1.57,0.52,True
2026-04,도시정비/재개발,28,3849910600.0,2026-04,24,20.5,7.5,4.0,False,증가,1.57,0.52,True
2026-05,도시정비/재개발,17,1581824000.0,2026-05,25,19.9,-2.8999999999999986,5.0,False,증가,1.57,0.52,True
2026-06,도시정비/재개발,,,2026-06,26,36.1,,,True,증가,1.57,0.52,True
2026-07,도시정비/재개발,,,2026-07,27,28.6,,,True,증가,1.57,0.52,True
2026-08,도시정비/재개발,,,2026-08,28,16.5,,,True,증가,1.57,0.52,True
2026-09,도시정비/재개발,,,2026-09,29,32.6,,,True,증가,1.57,0.52,True
2026-10,도시정비/재개발,,,2026-10,30,37.6,,,True,증가,1.57,0.52,True
2026-11,도시정비/재개발,,,2026-11,31,18.6,,,True,증가,1.57,0.52,True
2024-04,사무용품/문구,1,136480000.0,2024-04,0,8.7,-7.699999999999999,4.0,False,증가,1.63,0.859,True
2024-05,사무용품/문구,12,3518049000.0,2024-05,1,8.6,3.4000000000000004,5.0,False,증가,1.63,0.859,True
2024-06,사무용품/문구,11,15507212496.0,2024-06,2,8.5,2.5,6.0,False,증가,1.63,0.859,True
2024-07,사무용품/문구,12,4611795832.0,2024-07,3,8.5,3.5,7.0,False,증가,1.63,0.859,True
2024-08,사무용품/문구,10,1303918000.0,2024-08,4,8.4,1.5999999999999996,8.0,False,증가,1.63,0.859,True
2024-09,사무용품/문구,3,306856000.0,2024-09,5,8.4,-5.4,9.0,False,증가,1.63,0.859,True
2024-10,사무용품/문구,13,6687509950.0,2024-10,6,8.3,4.699999999999999,10.0,False,증가,1.63,0.859,True
2024-11,사무용품/문구,17,6601483991.0,2024-11,7,8.3,8.7,11.0,False,증가,1.63,0.859,True
2024-12,사무용품/문구,19,14641373810.0,2024-12,8,8.2,10.8,12.0,False,증가,1.63,0.859,True
2025-01,사무용품/문구,1,5544000.0,2025-01,9,8.1,-7.1,1.0,False,증가,1.63,0.859,True
2025-02,사무용품/문구,2,164887200.0,2025-02,10,8.1,-6.1,2.0,False,증가,1.63,0.859,True
2025-04,사무용품/문구,3,797369400.0,2025-04,11,8.0,-5.0,4.0,False,증가,1.63,0.859,True
2025-05,사무용품/문구,2,868322871.0,2025-05,12,8.0,-6.0,5.0,False,증가,1.63,0.859,True
2025-06,사무용품/문구,6,275023692.0,2025-06,13,7.9,-1.9000000000000004,6.0,False,증가,1.63,0.859,True
2025-07,사무용품/문구,2,36960000.0,2025-07,14,7.9,-5.9,7.0,False,증가,1.63,0.859,True
2025-08,사무용품/문구,8,17846233700.0,2025-08,15,7.8,0.20000000000000018,8.0,False,증가,1.63,0.859,True
2025-09,사무용품/문구,6,750000000.0,2025-09,16,7.7,-1.7000000000000002,9.0,False,증가,1.63,0.859,True
2025-10,사무용품/문구,23,6748000000.0,2025-10,17,7.7,15.3,10.0,False,증가,1.63,0.859,True
2025-11,사무용품/문구,2,71440000.0,2025-11,18,7.6,-5.6,11.0,False,증가,1.63,0.859,True
2025-12,사무용품/문구,1,96600000.0,2025-12,19,7.6,-6.6,12.0,False,증가,1.63,0.859,True
2026-01,사무용품/문구,2,184910000.0,2026-01,20,7.5,-5.5,1.0,False,증가,1.63,0.859,True
2026-03,사무용품/문구,21,4877737101.0,2026-03,21,7.5,13.5,3.0,False,증가,1.63,0.859,True
2026-04,사무용품/문구,12,3145819800.0,2026-04,22,7.4,4.6,4.0,False,증가,1.63,0.859,True
2026-05,사무용품/문구,3,1031400000.0,2026-05,23,7.3,-4.3,5.0,False,증가,1.63,0.859,True
2026-06,사무용품/문구,,,2026-06,24,7.6,,,True,증가,1.63,0.859,True
2026-07,사무용품/문구,,,2026-07,25,6.0,,,True,증가,1.63,0.859,True
2026-08,사무용품/문구,,,2026-08,26,8.1,,,True,증가,1.63,0.859,True
2026-09,사무용품/문구,,,2026-09,27,3.6,,,True,증가,1.63,0.859,True
2026-10,사무용품/문구,,,2026-10,28,17.1,,,True,증가,1.63,0.859,True
2026-11,사무용품/문구,,,2026-11,29,8.5,,,True,증가,1.63,0.859,True
2024-04,시설관리/공사,17,12512870816.0,2024-04,0,1127.1,-1110.1,4.0,False,감소,-67.83,0.358,False
2024-05,시설관리/공사,1000,370548130165.0,2024-05,1,1123.5,-123.5,5.0,False,감소,-67.83,0.358,False
2024-06,시설관리/공사,1236,444294205356.0,2024-06,2,1119.8,116.20000000000005,6.0,False,감소,-67.83,0.358,False
2024-07,시설관리/공사,1546,681278812628.0,2024-07,3,1116.2,429.79999999999995,7.0,False,감소,-67.83,0.358,False
2024-08,시설관리/공사,1302,12638631457530.0,2024-08,4,1112.5,189.5,8.0,False,감소,-67.83,0.358,False
2024-09,시설관리/공사,1220,522736894031.0,2024-09,5,1108.9,111.09999999999991,9.0,False,감소,-67.83,0.358,False
2024-10,시설관리/공사,1484,845245602628.0,2024-10,6,1105.2,378.79999999999995,10.0,False,감소,-67.83,0.358,False
2024-11,시설관리/공사,1392,531596779154.0,2024-11,7,1101.6,290.4000000000001,11.0,False,감소,-67.83,0.358,False
2024-12,시설관리/공사,1059,412423140755.7,2024-12,8,1097.9,-38.90000000000009,12.0,False,감소,-67.83,0.358,False
2025-01,시설관리/공사,1020,242676361254.0,2025-01,9,1094.3,-74.29999999999995,1.0,False,감소,-67.83,0.358,False
2025-02,시설관리/공사,641,244956236910.0,2025-02,10,1090.6,-449.5999999999999,2.0,False,감소,-67.83,0.358,False
2025-03,시설관리/공사,546,258132480017.0,2025-03,11,1087.0,-541.0,3.0,False,감소,-67.83,0.358,False
2025-04,시설관리/공사,1424,382307391854.364,2025-04,12,1083.3,340.70000000000005,4.0,False,감소,-67.83,0.358,False
2025-05,시설관리/공사,1281,597117078766.0,2025-05,13,1079.7,201.29999999999995,5.0,False,감소,-67.83,0.358,False
2025-06,시설관리/공사,1180,447226374428.0,2025-06,14,1076.0,104.0,6.0,False,감소,-67.83,0.358,False
2025-07,시설관리/공사,1452,569562296134.0,2025-07,15,1072.4,379.5999999999999,7.0,False,감소,-67.83,0.358,False
2025-08,시설관리/공사,1284,381777185273.0,2025-08,16,1068.7,215.29999999999995,8.0,False,감소,-67.83,0.358,False
2025-09,시설관리/공사,1257,784300648564.364,2025-09,17,1065.1,191.9000000000001,9.0,False,감소,-67.83,0.358,False
2025-10,시설관리/공사,1243,1541908163400.0,2025-10,18,1061.4,181.5999999999999,10.0,False,감소,-67.83,0.358,False
2025-11,시설관리/공사,1189,749017284262.182,2025-11,19,1057.8,131.20000000000005,11.0,False,감소,-67.83,0.358,False
2025-12,시설관리/공사,1106,999888903010.0,2025-12,20,1054.1,51.90000000000009,12.0,False,감소,-67.83,0.358,False
2026-01,시설관리/공사,1177,379624041696.0,2026-01,21,1050.5,126.5,1.0,False,감소,-67.83,0.358,False
2026-02,시설관리/공사,851,162698533457.0,2026-02,22,1046.8,-195.79999999999995,2.0,False,감소,-67.83,0.358,False
2026-03,시설관리/공사,184,101232260005.0,2026-03,23,1043.2,-859.2,3.0,False,감소,-67.83,0.358,False
2026-04,시설관리/공사,1393,372165140459.0,2026-04,24,1039.5,353.5,4.0,False,감소,-67.83,0.358,False
